1;Mammalia;Leão;Panthera leo;M;2;Carne;0;1;Simba;
3;Mammalia;Cavalo;Equus caballus;M;1,8;Forragem;8;7;Pé de Pano;
2;Mammalia;Porco Espinho;Coendou prehensilis;M;0,7;Raízes;6;10;Sonic;
6;Aves;Pinguim;Spheniscidae;F;0,49;Peixes;9;5;Kowalski;
8;Reptilia;Jacaré;Alligatoridae;M;3;Carne;5;6;Zé Jacaré;
4;Aves;Pica-pau;Picidae;M;0,17;Insetos;4;10;Pica-pau;
9;Reptilia;Tartaruga;Testudines;M;2,2;Pizza;2;1;Michelangelo;
7;Mammalia;Urso Panda;Ailuropoda melanoleuca;M;0,80;Vegetariana;4;9;Pô;
5;Mammalia;Gato;Felis catus;M;0,46;2;10;Ração;Garfield;
10;Amphibia;Sapo;Bufo bufo;M;0,15;5;3;Insetos;Rei Harold;
